Product Group (pricelist),C0: High-Win,C1: Active Pipeline,C2: High-Win,C3: Large Open,C4: Mid-Range
14bffcff0ab1f3dd,0.0,0.0,50.0,50.0,0.0
1e1439736d3ae4c5,14.3,35.7,0.0,42.9,7.1
2095e0b55fdf3180,24.0,6.0,10.0,60.0,0.0
28c9c64e5918b06e,45.2,10.6,8.8,35.0,0.4
3b7caebd862368af,12.0,2.7,10.7,74.7,0.0
6f9a9c5f2856c8b3,53.2,16.6,11.4,18.4,0.5
9181e305dde3c7b4,0.0,100.0,0.0,0.0,0.0
97ddc348b9993516,0.0,0.0,0.0,100.0,0.0
cd39fc3b76d2fe33,14.3,28.6,0.0,57.1,0.0
cff6b73eaa99701b,0.0,0.0,0.0,100.0,0.0
d4f34f97b6d22a81,47.8,9.4,14.5,27.8,0.5
e72348f2c1467542,27.3,9.1,0.0,18.2,45.5
f08bf9e156984a70,0.0,0.0,100.0,0.0,0.0
f3ebedb3fd709906,37.5,0.0,62.5,0.0,0.0
f411344bcce5fae8,0.0,100.0,0.0,0.0,0.0
