Region (org_country),C0: High-Win,C1: Active Pipeline,C2: High-Win,C3: Large Open,C4: Mid-Range
062b9e5a52eb6d8e,41.4,8.9,7.2,42.5,0.0
1bb1bb990c53f4fc,30.0,6.0,18.0,46.0,0.0
255414ab73601d72,45.0,11.7,14.5,28.8,0.0
38080774be85927f,50.0,16.2,6.2,27.5,0.0
674ec33189ed753c,33.9,4.0,7.7,54.4,0.0
6828ce51082c111b,43.4,10.4,16.0,30.2,0.0
6ab36d9b02cbcf6b,35.0,10.7,11.7,42.7,0.0
6b7e1f5b521de19b,46.9,14.4,12.3,25.7,0.7
7545e34e09ae9cad,25.3,9.5,7.4,57.9,0.0
75c64824a2a4e380,49.9,7.2,8.3,34.6,0.0
7b7c16a1b24ec3b8,48.4,7.7,13.1,30.8,0.0
95a23e7fbcc5841e,50.5,5.3,3.2,41.1,0.0
a0d28553c7be77f0,40.2,5.2,19.6,35.1,0.0
bd661df59343798b,42.1,15.8,7.9,34.2,0.0
cca8e68b78e095c5,38.6,9.0,0.7,51.7,0.0
ddbd249e57ed6b40,63.5,13.5,11.9,11.1,0.0
e366e0e543d0c5cd,55.7,10.6,19.6,14.1,0.0
e43bc3ffd79e75b6,42.3,5.6,7.0,45.1,0.0
fc3655a0b667e091,48.1,6.5,12.4,33.0,0.0
fd10c5543bdbcbc9,64.2,11.5,7.4,16.9,0.0
