dimension,segment,n_deals,avg_win_prob_pct,avg_days_remaining,med_days_remaining,expected_revenue_M,pipeline_at_risk_M,at_risk_pct
Business Unit,1cdd086394501fee,712,2.1,146.0,63.807203162864404,58.67,329.81,84.89636645320141
Business Unit,4928d3c96935fb3f,224,6.1,96.0,57.17588793154116,0.1,37.04,99.71848417718567
Business Unit,6befd145c261113d,1442,1.0,107.0,49.58714281435366,2.64,595.93,99.55839892467975
Business Unit,9387d1da6d5967e1,1175,0.7,105.0,72.56480013246889,0.27,72.35,99.62159587793283
Business Unit,a66943a59bca7bfd,430,1.6,92.0,59.048879558421945,1.23,103.35,98.82570447972373
Business Unit,ac2a5ee6878db2c2,675,2.3,153.0,59.78283296938296,58.64,526.72,89.98158692954192
Business Unit,ef9b14cf5a29c54a,187,11.3,85.0,59.16688177038122,5.97,85.26,93.45446507956655
Region,062b9e5a52eb6d8e,78,4.1,74.0,37.00872020297581,0.49,21.23,97.72571994217316
Region,255414ab73601d72,57,7.6,86.0,57.151035178855615,0.1,6.1,98.40148947636335
Region,38080774be85927f,27,1.4,201.0,63.09594745212131,0.02,16.63,99.86924340712217
Region,674ec33189ed753c,38,0.0,397.0,105.8528288495099,0.0,38.2,99.99946215369336
Region,6ab36d9b02cbcf6b,20,15.8,80.0,60.134063460738574,0.03,3.65,99.10405168523677
Region,6b7e1f5b521de19b,4184,1.8,115.0,57.764112342551904,125.64,1428.85,91.91737671394465
Region,7545e34e09ae9cad,18,0.0,106.0,113.9210178233959,0.0,6.15,100.0
Region,75c64824a2a4e380,56,0.1,120.0,63.252967639499246,0.02,77.1,99.96865567619274
Region,7b7c16a1b24ec3b8,18,0.2,88.0,74.17196352923358,0.0,1.55,99.82607183988202
Region,bd661df59343798b,19,5.3,69.0,71.46379063359014,0.0,0.43,99.56356582806109
Region,cca8e68b78e095c5,23,0.6,122.0,91.2048742110641,0.0,3.06,99.94301786339564
Region,e366e0e543d0c5cd,31,3.3,50.0,51.65822588320132,0.04,1.3,97.23415799298219
Region,e43bc3ffd79e75b6,16,6.3,148.0,67.25681215639467,0.01,4.82,99.86346227120572
Region,fc3655a0b667e091,26,0.0,206.0,94.68237957424589,0.0,13.2,99.98153580423957
Region,fd10c5543bdbcbc9,21,3.5,91.0,59.50126647949219,0.53,3.64,87.40087891455482
Product Group,14bffcff0ab1f3dd,1,0.0,0.0,0.0,0.0,0.15,100.0
Product Group,1e1439736d3ae4c5,5,0.4,139.0,77.4865365600586,0.0,0.01,99.99980815874785
Product Group,2095e0b55fdf3180,9,0.0,193.0,180.52455017089844,0.0,1.2,99.94867510186344
Product Group,28c9c64e5918b06e,377,1.6,83.0,58.02086626406069,0.66,79.21,99.1721315191348
Product Group,3b7caebd862368af,2,0.0,0.0,0.0,0.0,0.09,100.0
Product Group,6f9a9c5f2856c8b3,1925,1.5,108.0,54.03962313051577,60.23,644.79,91.45719313887369
Product Group,cd39fc3b76d2fe33,2,0.1,1092.0,1092.1469118019386,0.03,18.96,99.86823111011273
Product Group,d4f34f97b6d22a81,667,2.0,82.0,55.59850289803964,1.25,187.73,99.33873897779343
Product Group,e72348f2c1467542,4,0.0,175.0,150.39058488068758,0.0,0.0,99.99156971856077
Product Group,f411344bcce5fae8,1,0.0,94.0,93.7472265851056,0.0,0.0,100.0
